record_id,species,bl_accepted,bl_match_type,order,province,year,longitude,latitude,year_in_scope,point_baseline_temp,point_baseline_prec,point_year_temp,point_year_prec,point_temp_delta_from_baseline,point_prec_delta_from_baseline,has_range_polygon,range_baseline_temp_mean,range_baseline_prec_mean,range_year_temp_mean,range_year_prec_mean,range_temp_delta_from_baseline,range_prec_delta_from_baseline,point_temp_minus_range_baseline,point_prec_minus_range_baseline,centroid_lon,centroid_lat,nearest_edge_lon,nearest_edge_lat,bearing_from_centroid_deg,direction_8_centroid,bearing_from_nearest_edge_deg,direction_8_nearest_edge,centroid_delta_lon_deg,centroid_delta_lat_deg,edge_delta_lon_deg,edge_delta_lat_deg,distance_to_centroid_km,distance_to_nearest_edge_km,point_inside_range
272,Phalaropus fulicarius,Phalaropus fulicarius,accepted,Charadriiformes,Sichuan,2011,100.77,30.05,TRUE,2.1974167823791504,678,2.5416667461395264,571.2249755859375,0.344249963760376,-106.7750244140625,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,Phalaropus lobatus,Phalaropus lobatus,accepted,Charadriiformes,Guizhou,2022,104.94,25.09,TRUE,17.21558380126953,1265,17.84375,1152.8499755859375,0.62816619873046875,-112.1500244140625,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,Phalaropus lobatus,Phalaropus lobatus,accepted,Charadriiformes,Henan,2014,112.51,32.95,TRUE,15.619083404541016,907,16.46875,872.8499755859375,0.8496665954589844,-34.1500244140625,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,Phalaropus lobatus,Phalaropus lobatus,accepted,Charadriiformes,Jiangxi,2007,113,25,TRUE,15.098833084106445,1672,15.541666984558105,1429.6500244140625,0.44283390045166016,-242.3499755859375,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,Phalaropus lobatus,Phalaropus lobatus,accepted,Charadriiformes,Shaanxi,2014,109.39,34.79,TRUE,13.309916496276855,593,14.083333015441895,704.625,0.7734165191650391,111.625,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,Phalaropus lobatus,Phalaropus lobatus,accepted,Charadriiformes,Sichuan,2011,104.07,30.58,TRUE,16.6564998626709,1010,16.83333396911621,895.4000244140625,0.1768341064453125,-114.5999755859375,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,Tringa brevipes,Tringa brevipes,accepted,Charadriiformes,Sichuan,2013,102.76,30.05,TRUE,16.017000198364258,1400,16.36458396911621,1381.675048828125,0.3475837707519531,-18.324951171875,TRUE,7.260427037054222,638.1631001722135,7.917291327923994,657.6830812996791,0.6568642908697724,19.5199811274656,9.10415693206199,743.5119486559115,106.93943936865567,36.60270789628019,102.76,30.05,209.22845790588252,SW,0,N,-4.179439368655665,-6.552707896280186,0,0,831.7430598819177,0,TRUE
279,Tringa guttifer,Tringa guttifer,accepted,Charadriiformes,Liaoning,2006,124.03,39.82,TRUE,9.23900032043457,904,9.833333015441895,908.54998779296875,0.5943326950073242,4.54998779296875,TRUE,18.32242503826435,1306.603076923077,19.236531360893494,1232.4967614435086,0.914106322629145,-74.10631547956837,-8.489092022822454,-398.0530891301082,118.59849040345934,27.585218498868258,119.88902124200001,35.66500201900004,18.80358376607603,N,36.99138057479291,NE,5.431509596540664,12.234781501131742,4.140978757999989,4.154997980999958,1463.7664686686492,589.4557101943444,FALSE
280,Tringa stagnatilis,Tringa stagnatilis,accepted,Charadriiformes,Guizhou,2021,109.22,27.82,TRUE,16.527833938598633,1240,17.61458396911621,1432.574951171875,1.0867500305175781,192.574951171875,TRUE,0.9704708715812752,561.5288406624786,2.151812059926598,652.210590325513,1.1813411883453226,90.68174966303434,16.644113097534937,871.0461105093964,124.85065785318317,47.53959975136297,120.143957,23.649327,217.2573829538458,SW,295.28071666181313,NW,-15.630657853183166,-19.71959975136297,-10.923957000000001,4.170673000000001,2591.8131682939784,1185.4421331598573,FALSE
281,Stercorarius longicaudus,Stercorarius longicaudus,accepted,Charadriiformes,Jiangsu,2016,120.64,32.67,TRUE,14.841750144958496,1009,15.760416984558105,1209.925048828125,0.9186668395996094,200.925048828125,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,Stercorarius parasiticus,Stercorarius parasiticus,accepted,Charadriiformes,Hunan,2018,110.77,29.93,TRUE,15.27400016784668,1314,16.11458396911621,1237.125,0.84058380126953125,-76.875,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,Stercorarius parasiticus,Stercorarius parasiticus,accepted,Charadriiformes,Inner Mongolia,2019,123.08,46.22,TRUE,5.159333229064941,410,6.59375,498.7749938964844,1.4344167709350586,88.774993896484375,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,Stercorarius parasiticus,Stercorarius parasiticus,accepted,Charadriiformes,Sichuan,2013,104.18,31.02,TRUE,16.295583724975586,937,17.02083396911621,1007.9750366210938,0.725250244140625,70.97503662109375,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,Stercorarius parasiticus,Stercorarius parasiticus,accepted,Charadriiformes,Xizang,2023,86,28.08,TRUE,0.9025833606719971,544,1.6979166269302368,540.125,0.7953332662582397,-3.875,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,Stercorarius parasiticus,Stercorarius parasiticus,accepted,Charadriiformes,Yunnan,2016,100.52,25.03,TRUE,18.006834030151367,877,18.65625,966.92498779296875,0.6494159698486328,89.92498779296875,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,Stercorarius pomarinus,Stercorarius pomarinus,accepted,Charadriiformes,Inner Mongolia,2006,110.01,41.53,TRUE,4.192583084106445,275,5.583333492279053,264.6000061035156,1.3907504081726074,-10.399993896484375,TRUE,22.45680256547599,1812.6379310344828,22.945250306810653,1912.7628086635045,0.48844774133466373,100.12487762902174,-16.873469073196937,-1548.0379249309672,113.3675208431822,15.295427737355714,113.43292236400009,23.09332275400004,354.34011514710426,N,351.9688433973116,N,-3.3575208431822006,26.234572262644285,-3.4229223640000868,18.43667724599996,2931.9468501897577,2047.4520795227952,FALSE
288,Turnix suscitator,Turnix suscitator,accepted,Charadriiformes,Anhui,2023,117.09,30.26,TRUE,16.53499984741211,1525,17.85416603088379,1668.324951171875,1.3191661834716797,143.324951171875,TRUE,17.805091917487857,1374.3618282270215,19.075513327076226,1318.3687646033081,1.2704214095883692,-55.9930636237134,0.04907411339593182,293.96312294485347,105.91864279646035,25.13589969650538,119.20971679700006,25.68267822300004,60.090499791323964,NE,338.2456571936457,N,11.171357203539657,5.124100303494622,-2.119716797000052,4.577321776999963,1233.3818042251871,551.4065209200603,FALSE
289,Turnix suscitator,Turnix suscitator,accepted,Charadriiformes,Zhejiang,2021,121.02,28.86,TRUE,16.5761661529541,1402,18.04166603088379,1754.125,1.4654998779296875,352.125,TRUE,17.805091917487857,1374.3618282270215,18.901307482687805,1305.824573102188,1.0962155651999481,-68.53725512483356,0.23657411339593182,379.76317177297847,105.91864279646035,25.13589969650538,119.62968635478958,25.757080078000058,71.17223279403106,E,21.39324090830246,N,15.10135720353965,3.7241003034946196,1.3903136452104121,3.1029199219999413,1545.589171986616,371.99643905080546,FALSE
290,Anastomus oscitans,Anastomus oscitans,accepted,Ciconiiformes,Hebei,2021,114.16,38.24,TRUE,12.587833404541016,479,13.895833015441895,565.20001220703125,1.307999610900879,86.20001220703125,TRUE,22.833408962596547,2611.431818181818,23.677793502807617,1929.4017056551847,0.8443845402110703,-682.0301125266333,-8.937575947154652,-2046.2318059747868,93.61722653715918,27.247457266283497,95.68570486793098,28.26200299157166,52.230896267262665,NE,52.28911197216598,NE,20.542773462840813,10.992542733716505,18.474295132069017,9.977997008428343,2255.9539196132605,2027.3016641608738,FALSE
291,Anastomus oscitans,Anastomus oscitans,accepted,Ciconiiformes,Hunan,2025,113.24,28.23,TRUE,17.467750549316406,1408,NA,NA,NA,NA,TRUE,22.833408962596547,2611.431818181818,NA,NA,NA,NA,NA,NA,93.61722653715918,27.247457266283497,95.68570486793098,28.26200299157166,82.19171391792815,E,85.93841474865735,E,19.62277346284081,0.9825427337165031,17.554295132069015,-0.03200299157165887,1920.6917058326499,1706.0136645868058,FALSE
292,Anastomus oscitans,Anastomus oscitans,accepted,Ciconiiformes,Qinghai,2023,96.57,32.58,TRUE,0.8491666913032532,549,1.3854166269302368,585.3499755859375,0.5362499356269836,36.3499755859375,TRUE,22.833408962596547,2611.431818181818,23.66595632379705,2199.8625099875712,0.8325473612005041,-411.5693081942468,-21.44799233566631,-2026.0818425958805,93.61722653715918,27.247457266283497,95.68570486793098,28.26200299157166,24.914883255613745,NE,9.793570603415333,N,2.9527734628408098,5.332542733716501,0.8842951320690133,4.317997008428339,660.9976969723043,491.9534931697354,FALSE
293,Anastomus oscitans,Anastomus oscitans,accepted,Ciconiiformes,Shaanxi,2020,107.53,33.23,TRUE,14.399250030517578,829,14.96875,774.64996337890625,0.5694999694824219,-54.35003662109375,TRUE,22.833408962596547,2611.431818181818,23.267992453141645,2706.3664883700285,0.4345834905450978,94.93467018821048,-7.864658962596547,-1836.7818548029118,93.61722653715918,27.247457266283497,95.68570486793098,28.26200299157166,60.141158809097874,NE,61.03493258962351,NE,13.912773462840818,5.9825427337165,11.844295132069021,4.967997008428338,1481.3641189549073,1249.461566309502,FALSE
294,Anastomus oscitans,Anastomus oscitans,accepted,Ciconiiformes,Sichuan,2018,103.09,28.41,TRUE,10.561666488647461,895,11.145833015441895,1002.875,0.5841665267944336,107.875,TRUE,22.833408962596547,2611.431818181818,23.014914772727273,1998.969315962358,0.18150581013072653,-612.46250221946,-11.687575947154652,-1608.556818181818,93.61722653715918,27.247457266283497,95.68570486793098,28.26200299157166,79.90204215467111,E,86.94181380576208,E,9.47277346284082,1.1625427337165029,7.404295132069024,0.14799700842834085,934.9342979494021,719.7956434178953,FALSE
295,Ciconia boyciana,Ciconia boyciana,accepted,Ciconiiformes,Gansu,2023,105.02,33.35,TRUE,11.590166091918945,604,12.947916984558105,622.92498779296875,1.3577508926391602,18.92498779296875,TRUE,11.363117004738795,985.3284976768198,12.739883673844691,1031.3481883656468,1.376766669105896,46.01969068882704,1.5847999798193104,-362.40350988385103,118.87195733525647,35.790379439023674,105.93731689400005,31.735107422000056,261.9253251186805,W,334.6581174058095,NW,-13.851957335256472,-2.4403794390236726,-0.9173168940000522,1.614892577999946,1277.642886534794,200.4830399807417,FALSE
296,Ciconia boyciana,Ciconia boyciana,accepted,Ciconiiformes,Ningxia,2017,105.72,37.25,TRUE,9.19083309173584,242,10.375,286.1000061035156,1.1841669082641602,44.100006103515625,TRUE,11.363117004738795,985.3284976768198,12.361116579176256,984.6008582152233,0.9979995744374612,-0.7276394615964819,-0.988117004738795,-699.2284915733042,118.87195733525647,35.790379439023674,107.26593017600004,32.300292969000054,281.75315579373506,W,346.0475383972144,N,-13.15195733525647,1.459620560976326,-1.5459301760000415,4.949707030999946,1167.2750429687442,575.8528913626004,FALSE
297,Ciconia boyciana,Ciconia boyciana,accepted,Ciconiiformes,Tianjin,1999,117.48,38.75,FALSE,13.022417068481445,537,NA,NA,NA,NA,TRUE,11.363117004738795,985.3284976768198,NA,NA,NA,NA,NA,NA,118.87195733525647,35.790379439023674,117.48,38.75,339.8991235660104,N,0,N,-1.391957335256464,2.959620560976326,0,0,355.81027352528577,0,TRUE
298,Ciconia episcopus,Ciconia episcopus,accepted,Ciconiiformes,Yunnan,2011,99.62,27.89,TRUE,5.3416666984558105,700,5.885416507720947,533.32501220703125,0.5437498092651367,-166.67498779296875,TRUE,19.65139249106434,2260.03738317757,20.217435716468596,1807.1837625949183,0.5660432254042576,-452.85362058265173,-13.765975983343392,-1726.7123709705388,94.35510439488831,27.449461226832966,95.81614578335403,28.292873972193583,83.38340853259672,E,95.94752455315177,E,5.26489560511169,0.4405387731670345,3.8038542166459735,-0.4028739721935821,518.023964338227,373.5183513144745,FALSE
299,Ciconia nigra,Ciconia nigra,accepted,Ciconiiformes,Xizang,2020,98.87,29.55,TRUE,1.503749966621399,592,2.2395832538604736,526.67498779296875,0.7358332872390747,-65.32501220703125,TRUE,8.736445296590771,660.478846336596,9.788826196764074,710.891800988032,1.0523809001733024,50.41295465143594,-6.496862042730298,-133.80385854362726,108.34986289698001,37.35400883455637,98.87,29.55,228.09531250303067,SW,0,N,-9.47986289698001,-7.804008834556367,0,0,1233.8678732944218,0,TRUE
300,Leptoptilos javanicus,Leptoptilos javanicus,accepted,Ciconiiformes,Yunnan,2013,103.38,23.42,TRUE,18.244916915893555,1099,18.90625,1018,0.6613330841064453,-81,TRUE,16.802914893439926,2002.2303664921467,17.223194792944724,2110.2266939972083,0.4202798995047985,107.99632750506157,2.103335106560074,-984.2303664921467,94.41181021675217,27.813149278545797,96.71850778943637,27.95723930472075,116.51501443566906,SE,125.59808102172121,SE,8.968189783247823,-4.3931492785457955,6.6614922105636225,-4.5372393047207495,1022.2338045945469,835.7085634418632,FALSE
301,Chalcophaps indica,Chalcophaps indica,accepted,Columbiformes,Anhui,2023,117.91,31.64,TRUE,15.9600830078125,1157,17.375,1330.425048828125,1.4149169921875,173.425048828125,TRUE,20.154890994504072,1644.4757103574702,21.37871837819961,1554.7095353047114,1.2238273836955393,-89.76617505275885,-2.779890994504072,-314.05066152934523,107.71682306738877,23.21396319423751,118.57156921510924,24.92933777599137,44.77917549085572,NE,355.1924897976647,N,10.193176932611223,8.42603680576249,-0.6615692151092389,6.7106622240086296,1371.50156764184,752.2500937738614,FALSE
302,Chalcophaps indica,Chalcophaps indica,accepted,Columbiformes,Hunan,2017,111.59,25.95,TRUE,17.02549934387207,1482,17.84375,1527.875,0.8182506561279297,45.875,TRUE,20.154890994504072,1644.4757103574702,20.761681952451003,1785.410248935778,0.6067909579469308,140.93453857830787,-2.311140994504072,-116.60071035747023,107.71682306738877,23.21396319423751,111.8305898763795,23.744651119722736,51.36665842876761,NE,354.3966238925384,N,3.87317693261123,2.736036805762488,-0.24058987637950224,2.2053488802772634,495.81692878198385,245.22058752548352,FALSE
303,Chalcophaps indica,Chalcophaps indica,accepted,Columbiformes,Jiangxi,2011,114.38,24.49,TRUE,18.524166107177734,1798,18.16666603088379,1475.050048828125,-0.3575000762939453,-322.949951171875,TRUE,20.154890994504072,1644.4757103574702,20.01378437724161,1396.1402064638887,-0.1411066172624622,-248.33550389358152,-1.988224963620283,-169.42566152934523,107.71682306738877,23.21396319423751,114.43005829188463,23.92346439657565,76.83838033852874,E,355.40276886422623,N,6.663176932611222,1.2760368057624873,-0.05005829188463906,0.5665356034243487,695.4269864004086,62.766790713677615,FALSE
304,Chalcophaps indica,Chalcophaps indica,accepted,Columbiformes,Zhejiang,2018,120.14,27.52,TRUE,15.077917098999023,1744,15.84375,1654.449951171875,0.7658329010009766,-89.550048828125,TRUE,20.154890994504072,1644.4757103574702,20.64279773987551,1689.5742723714131,0.4879067453714363,45.09856201394291,-4.311140994504072,9.974240814404766,107.71682306738877,23.21396319423751,121.477716,25.266049,66.42133714614795,NE,332.29808561237564,NW,12.423176932611227,4.3060368057624885,-1.3377160000000003,2.2539510000000007,1335.9911244897216,283.4947963008981,FALSE
