species,species_canon,bl_accepted,bl_match_type
Circus aeruginosus,Circus aeruginosus,Circus aeruginosus,accepted
Circus macrourus,Circus macrourus,Circus macrourus,accepted
Circus spilonotus,Circus spilonotus,Circus spilonotus,accepted
Cisticola exilis,Cisticola exilis,Cisticola exilis,accepted
Cisticola juncidis,Cisticola juncidis,Cisticola juncidis,accepted
Clamator coromandus,Clamator coromandus,Clamator coromandus,accepted
Clamator jacobinus,Clamator jacobinus,Clamator jacobinus,accepted
Clanga clanga,Clanga clanga,Clanga clanga,accepted
Clangula hyemalis,Clangula hyemalis,Clangula hyemalis,accepted
Columba oenas,Columba oenas,Columba oenas,accepted
Copsychus saularis,Copsychus saularis,Copsychus saularis,accepted
Coracias garrulus,Coracias garrulus,Coracias garrulus,accepted
Coracina javensis,Coracina javensis,Coracina javensis,accepted
Coturnicops exquisitus,Coturnicops exquisitus,Coturnicops exquisitus,accepted
Crex crex,Crex crex,Crex crex,accepted
Crossoptilon mantchuricum,Crossoptilon mantchuricum,Crossoptilon mantchuricum,accepted
Curruca communis,Curruca communis,Curruca communis,accepted
Curruca crassirostris,Curruca crassirostris,Curruca crassirostris,accepted
Curruca curruca,Curruca curruca,Curruca curruca,accepted
Cutia nipalensis,Cutia nipalensis,Cutia nipalensis,accepted
Cyanistes cyanus,Cyanistes cyanus,Cyanistes cyanus,accepted
Cyanoderma pyrrhops,Cyanoderma pyrrhops,Cyanoderma pyrrhops,accepted
Cyanoderma rufifrons,Cyanoderma rufifrons,Cyanoderma rufifrons,accepted
Cygnus columbianus,Cygnus columbianus,Cygnus columbianus,accepted
Cygnus cygnus,Cygnus cygnus,Cygnus cygnus,accepted
Cygnus olor,Cygnus olor,Cygnus olor,accepted
Cyornis glaucicomans,Cyornis glaucicomans,Cyornis glaucicomans,accepted
Cyornis hainanus,Cyornis hainanus,Cyornis hainanus,accepted
Cyornis poliogenys,Cyornis poliogenys,Cyornis poliogenys,accepted
Cyornis rubeculoides,Cyornis rubeculoides,Cyornis rubeculoides,accepted
Delichon dasypus,Delichon dasypus,Delichon dasypus,accepted
Dendrocitta formosae,Dendrocitta formosae,Dendrocitta formosae,accepted
Dendrocopos hyperythrus,Dendrocopos hyperythrus,Dendrocopos hyperythrus,accepted
