record_id,species,order_raw,order_cn,province_cn,province_en_raw,year,year_in_scope,iucn_raw,discover_cause_raw,discovery_method_raw,longitude,latitude,order,province,iucn,discover_reason,discovery_method,paper_id,species_cn,english_name,naming_time,identity_source,identity_change_flag,duplicate_group_size,keep_record,coord_status,family,discovery_sites,habitat,altitude,migratory_status,china_red_list,endemic,source_title,source_journal,source_authors,doi,link
481,Emberiza godlewskii,PASSERIFORMES,PASSERIFORMES,NA,Hunan,2012,TRUE,LC,Range Shift,Field Observation and Photography,110.72,30.03,Passeriformes,Hunan,LC,Range shift or distribution change,Field Observation and Photography,Four New Records of Passerine Birds in Hunan Province,灰眉岩鹀,Godlewski'S Bunting,NA,raw_table,FALSE,1,TRUE,valid,Emberizidae,"Dajingzhu, Jiangping Branch Station, Hupingshan Nature Reserve, Hunan Province, China",Farmland/Tea Plantation,1210 m,Not a Migrant,LC,NO,Four New Records of Passerine Birds in Hunan Province,Chinese Journal of Zoology,Kang Zujie; Yang Daode; Deng Xuejian,10.13859/j.cjz.2012.06.019,https://link.cnki.net/doi/10.13859/j.cjz.2012.06.019
482,Emberiza hortulana,PASSERIFORMES,PASSERIFORMES,NA,Inner Mongolia,2010,TRUE,LC,Range Shift,Field Observation and Photography,108.57,38.98,Passeriformes,Inner Mongolia,LC,Range shift or distribution change,Field Observation and Photography,New Bird Records in Western Inner Mongolia Autonomous Region and Ningxia Hui Autonomous Region,圃鹀,Ortolan Bunting,NA,raw_table,FALSE,1,TRUE,valid,Emberizidae,"Fuyin Temple, Helan Mountain, Alxa Left Banner, Inner Mongolia, China",Mountain Habitat,NA,Full Migrant,LC,NO,New Bird Records in Western Inner Mongolia Autonomous Region and Ningxia Hui Autonomous Region,Sichuan Journal of Zoology,Wang Zhifang; Han Jiawen; Xiao Min; Bai Yuxi; Zhu Dongning; Bai Xiaolong; Wei Hong; Liang Bin; Yang Guisheng,NA,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPULaevfwHJT5Cd2UzmPQa47dDoqOPeDTUd5nk80HBvXQw9egR0HHrKUP1-99_aqhrpAKVVc4VuzB7HDFqboDLgKLF_bomc8gpOyEUJbEN5i81WUg3cT5wqhk44q6EBc51dDiliQxnb61a621_jJgeqMcRADvRbsZNdsQ9oCoYcI9rA==&uniplatform=NZKPT&language=CHS
483,Emberiza leucocephalos,PASSERIFORMES,PASSERIFORMES,NA,Anhui,2012,TRUE,LC,Range Shift,Field Observation and Photography,115.6,33.25,Passeriformes,Anhui,LC,Range shift or distribution change,Field Observation and Photography,Pine Bunting Found in Anhui Province,白头鹀,Pine Bunting,NA,raw_table,FALSE,1,TRUE,valid,Emberizidae,"Privet Tree, Roadside, Danchang Village, Jiuxian Town, Taihe County, Fuyang, Anhui Province, China",Mixed Habitat,2965m,Full Migrant,LC,NO,Pine Bunting Found in Anhui Province,Chinese Journal of Zoology,Liu Zixiang; Tang Zijun; Shu; Fu; Zhao Dongdong; Deng Xuejian,10.13859/j.cjz.2013.03.019,NA
484,Emberiza melanocephala,PASSERIFORMES,PASSERIFORMES,NA,Guangxi,2018,TRUE,LC,NA,Field Observation and Photography,109.07,21.46,Passeriformes,Guangxi,LC,Other,Field Observation and Photography,Black-headed Bunting (Emberiza melanocephala) Found in Guangxi,黑头鹀,Black-Headed Bunting,NA,raw_table,FALSE,1,TRUE,valid,Emberizidae,"Rice Field, Beside Guanling Road, Yinhai District, Beihai, Guangxi, China",Mixed Habitat,NA,Full Migrant,LC,NO,Black-headed Bunting (Emberiza melanocephala) Found in Guangxi,Chinese Journal of Zoology,Ceng Chen; Bai Haotian; Lin Qingxian,10.13859/j.cjz.201904024,NA
485,Emberiza pallasi,PASSERIFORMES,PASSERIFORMES,NA,Guizhou,2014,TRUE,LC,Range Shift,Field Observation and Photography,104.25,26.85,Passeriformes,Guizhou,LC,Range shift or distribution change,Field Observation and Photography,Bird Record from Guizhou Province,苇鹀,Pallas'S Bunting,NA,raw_table,FALSE,1,TRUE,valid,Emberizidae,"Laozufen, Caohai Lake National Nature Reserve, Guizhou Province, China",Wetland,2 175 m,Full Migrant,LC,NO,Bird Record from Guizhou Province,Chinese Journal of Zoology,Mi Xiaoqi; Yu Bo; Wang Hua,10.13859/j.cjz.201503023,NA
486,Emberiza pusilla,PASSERIFORMES,PASSERIFORMES,NA,Tibet,2013,TRUE,LC,Range Shift,Field Observation and Photography,97.83,29.69,Passeriformes,Xizang,LC,Range shift or distribution change,Field Observation and Photography,White-collared Yuhina and Little Bunting Found in Tibet,小鹀,Little Bunting,NA,raw_table,FALSE,1,TRUE,valid,Emberizidae,"Yuqu River Tan, Lada Village, Wangda Town, Zuogong County, Tibet, China",Forest,3823 m,Full Migrant,LC,NO,White-collared Yuhina and Little Bunting Found in Tibet,Chinese Journal of Zoology,Liu Zixiang; Li Zhiguo; Shu Fu; Zhao Dongdong; Wu Qianqian; Shi Shengchao; Deng Xuejian,10.13859/j.cjz.201404024,NA
487,Emberiza rustica,PASSERIFORMES,PASSERIFORMES,NA,Guizhou,2023,TRUE,VU,Range Shift,Field Observation and Photography,106.63,26.64,Passeriformes,Guizhou,VU,Range shift or distribution change,Field Observation and Photography,New Bird Record of Emberiza rustica in Guizhou Province,田鹀,Rustic Bunting,NA,raw_table,FALSE,1,TRUE,valid,Emberizidae,"Guanshanhu Park, Guiyang, Guizhou Province, China",Farmland/Tea Plantation,1276 m,Full Migrant,LC,NO,New Bird Record of Emberiza rustica in Guizhou Province,Sichuan Journal of Zoology,Yang Xiongwei; Zhang Haibo; Pan Xia; Su Yijiang; Li Yi; Xia Fengmei; Li Yan; Guo Xuan; Li Zhumei,NA,https://kns.cnki.net/kcms2/article/abstract?v=x5ZT7qxuO_qRZAgPRcvYh9iOzn56Nj9U6w1aKB-W1Rdr8Rboris9HtlrFNx_GLEEGm0ab0f8gtYJCvcoShXx3XglxP65CC2zRa8AYhPwRQfqYxMCmRpLXPeAe8sQYQ3m4r8GrekD2Lao6q561XN4hzdOvZZ0KfMP7ZeI3ovTQL66XH6QPID6lA==&uniplatform=NZKPT&language=CHS
488,Emberiza siemsseni,PASSERIFORMES,PASSERIFORMES,NA,Jiangsu,2023,TRUE,LC,NA,Field Observation and Photography,118.83,31.64,Passeriformes,Jiangsu,LC,Other,Field Observation and Photography,"New Bird Records in Jiangsu Province: Emberiza siemsseni, Ptyonoprogne rupestris, Macropygia unchall, Oenanthe oenanthe, Muscicapa muttui, Pericrocotus ethologus",蓝鹀,Slaty Bunting,NA,raw_table,FALSE,1,TRUE,valid,Emberizidae,"Linxiaxiliu, Hengshan Scenic Area, Jiangzhu District, Nanjing, Jiangsu Province, China",Forest,"2232m, 2250m",Altitudinal Migrant,NT,YES,"New Bird Records in Jiangsu Province: Emberiza siemsseni, Ptyonoprogne rupestris, Macropygia unchall, Oenanthe oenanthe, Muscicapa muttui, Pericrocotus ethologus",Chinese Journal of Wildlife,Ye Lin; Gao Guofu; Zhou Minjun; Qian Qingqi; Chen Cheng; Su Shengbo; Lu Yaping; Wang Yongxiang; Zhang Manling; Zheng Wei; Bao Haoran,10.12375/ysdwxb.20240426,https://link.cnki.net/urlid/23.1587.S.20240522.1113.004
489,Emberiza siemsseni,PASSERIFORMES,PASSERIFORMES,NA,Jiangxi,2011,TRUE,LC,Range Shift,Field Observation and Photography,116.25,28.75,Passeriformes,Jiangxi,LC,Range shift or distribution change,Field Observation and Photography,Little Egret and Blue Bunting Found in Jiangxi Province,蓝鹀,Slaty Bunting,NA,raw_table,FALSE,1,TRUE,valid,Emberizidae,"Yanming Island Park, Qingshanhu, Nanchang, Jiangxi Province, China",Forest,NA,Altitudinal Migrant,NT,YES,Little Egret and Blue Bunting Found in Jiangxi Province,Chinese Journal of Zoology,Zhang Weiwei; Ying Qin; Ji Weidong; Kong Fanqian; Huang Huiqin; Shi Jinze,10.13859/j.cjz.2013.04.027,NA
490,Emberiza siemsseni,PASSERIFORMES,PASSERIFORMES,NA,Qinghai,2014,TRUE,LC,NA,Field Observation and Photography,101.78,36.6,Passeriformes,Qinghai,LC,Other,Field Observation and Photography,"Seven New Bird Records of Qinghai Province, China",蓝鹀,Slaty Bunting,NA,raw_table,FALSE,1,TRUE,valid,Emberizidae,"Nanshan Park, Xining, Qinghai Province, China",Rivers/Lakes/Water Bodies,297 m,Altitudinal Migrant,NT,YES,"Seven New Bird Records of Qinghai Province, China",Chinese Journal of Zoology,Xi Wenjing; Wang Xiaojiong; Wang Jianting; Wang Xuguang; Ma Cunxin; Dan Zhicuo; Chen Zhenning,10.13859/j.cjz.201706017,https://link.cnki.net/doi/10.13859/j.cjz.201706017
491,Emberiza leucocephalos,PASSERIFORMES,PASSERIFORMES,NA,Xinjiang,2013,TRUE,LC,Range Shift,Field Observation and Photography,75.08,39.33,Passeriformes,Xinjiang,LC,Range shift or distribution change,Field Observation and Photography,A New Record of Bird from China: White-capped Bunting Emberiza stewarti,白头鹀,Pine Bunting,NA,raw_table,FALSE,1,TRUE,valid,Emberizidae,"Northeastern Pamir Plateau, Piao'er Tuokuoyi Township, Wuqia County, Xinjiang, China",Forest,2100 m,Full Migrant,LC,NO,A New Record of Bird from China: White-capped Bunting Emberiza stewarti,Chinese Journal of Zoology,Tian Shaoxuan; Ding Jinqing; Ma Ming; Guo Hong; Li Xinbao,10.13859/j.cjz.2013.05.019,https://link.cnki.net/doi/10.13859/j.cjz.2013.05.019
492,Emberiza sulphurata,PASSERIFORMES,PASSERIFORMES,NA,Zhejiang,2005,TRUE,LC,Range Shift,Field Observation and Photography,122.07,30.57,Passeriformes,Zhejiang,LC,Range shift or distribution change,Field Observation and Photography,"Sakhalin Leaf-warbler and Japanese Yellow Bunting－Two New Bird Records from Zhejiang Province, China",硫黄鹀,Yellow Bunting,NA,raw_table,FALSE,1,TRUE,valid,Emberizidae,"Dayangshan Island, Zhejiang Province, China; Sijiaoshan Island, Zhejiang Province, China",Mixed Habitat,36 m,Full Migrant,VU,NO,"Sakhalin Leaf-warbler and Japanese Yellow Bunting－Two New Bird Records from Zhejiang Province, China",Zoological Research,Xiong Lihu; Bo Petersson; Lu Jianjian,10.3321/j.issn:0254-5853.2006.03.017,NA
493,Emberiza yessoensis,PASSERIFORMES,PASSERIFORMES,NA,Anhui,2016,TRUE,NT,NA,Field Observation and Photography,117.44,32.29,Passeriformes,Anhui,NT,Other,Field Observation and Photography,"Seven New Bird Records in Anhui Province, China",红颈苇鹀,Ochre-Rumped Bunting,NA,raw_table,FALSE,1,TRUE,valid,Emberizidae,"Ditch, Wuwei Town, Dingyuan County, Chuzhou, Anhui Province, China; Niujiao Daxu, Feixi County, Anhui Province, China",Rivers/Lakes/Water Bodies,NA,Full Migrant,NT,NO,"Seven New Bird Records in Anhui Province, China",Chinese Journal of Zoology,Zhao Kai; Zhang Hong; Gu Zhangming; Wu Hailong,10.13859/j.cjz.201705101,https://link.cnki.net/doi/10.13859/j.cjz.201705101
494,Emberiza yessoensis,PASSERIFORMES,PASSERIFORMES,NA,Hubei,2014,TRUE,NT,Range Shift,Field Observation and Photography,112.36,30.37,Passeriformes,Hubei,NT,Range shift or distribution change,Field Observation and Photography,"Y.""-#K-’&:#0Q’(*)(9 $D&5+*#E% 7+$$’+($#$% 7%’(0)(a)(9P""%’""",红颈苇鹀,Ochre-Rumped Bunting,NA,raw_table,FALSE,1,TRUE,valid,Emberizidae,"Chang, Guanyindang Town, Jingzhou, Hubei Province, China",Farmland/Tea Plantation,30 m,Full Migrant,NT,NO,"Y.""-#K-’&:#0Q’(*)(9 $D&5+*#E% 7+$$’+($#$% 7%’(0)(a)(9P""%’""",Chinese Journal of Zoology,Chen Dezhi; Li Shaobin,10.13859/j.cjz.201405023,NA
495,Emberiza yessoensis,PASSERIFORMES,PASSERIFORMES,NA,Hunan,2014,TRUE,NT,NA,Vocalization Record,112.9,28.32,Passeriformes,Hunan,NT,Other,Vocalization Record,Ochre-rumped Bunting Found in Hunan Province,红颈苇鹀,Ochre-Rumped Bunting,NA,raw_table,FALSE,1,TRUE,valid,Emberizidae,"Dazehu Wetland, Wangcheng District, Changsha, Hunan Province, China",Mixed Habitat,114 m,Full Migrant,NT,NO,Ochre-rumped Bunting Found in Hunan Province,Chinese Journal of Zoology,Shi Shengchao; Tang Wei; Liu Yimin; Wu Qianqian; Ren Ruijun; Deng Xuejian,10.13859/j.cjz.201602021,NA
496,Lonchura striata,PASSERIFORMES,PASSERIFORMES,NA,Gansu,2009,TRUE,LC,Range Shift,Field Observation and Photography,104.69,32.95,Passeriformes,Gansu,LC,Range shift or distribution change,Field Observation and Photography,New Bird Records in Gansu Province,白腰文鸟,White-Rumped Munia,NA,raw_table,FALSE,1,TRUE,valid,Estrildidae,"Roadside Greening Trees, Yangguang Residential Community And Government Residential Community, Chengguan Town, Wen County, Gansu Province, China",Artificial Habitat,"960 m, 1 120 m",Not a Migrant,LC,NO,New Bird Records in Gansu Province,Sichuan Journal of Zoology,Teng Jirong; Li Xiaohong; Feng Xiaobin; Chen Jixiang; Zhang Tao,NA,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPUK5L3Dt09punZyben0sVWWxt1enlAYy2Z0voeqVJ-zrckFgDWnVVXCRjzUSX7ZDCJOEI2GiDCuNIZKm9Os3ZaGynDN-ENp48JYfvQPxqMQyRokkTNjhRJT0PTvOfDnT3oD96jk0tq6Xk-MkgLbiJabKVew0spqoJeKjV4M8K4GuNQ==&uniplatform=NZKPT&language=CHS
497,Lonchura striata,PASSERIFORMES,PASSERIFORMES,NA,Tibet,2003,TRUE,LC,Range Shift,Net Capture Record,95.15,29.23,Passeriformes,Xizang,LC,Range shift or distribution change,Net Capture Record,New Bird Record of White-rumped Munia in Tibet,白腰文鸟,White-Rumped Munia,NA,raw_table,FALSE,1,TRUE,valid,Estrildidae,"Farmland, Beibeng Township, Medog County, Tibet, China",Mixed Habitat,685 m,Not a Migrant,LC,NO,New Bird Record of White-rumped Munia in Tibet,Sichuan Journal of Zoology,Huang Qiang; Zhang Luohong,NA,https://www.scdwzz.com/thesisDetails?columnId=29087442&Fpath=home&index=0&lang=zh
498,Psarisomus dalhousiae,PASSERIFORMES,PASSERIFORMES,NA,Tibet,2015,TRUE,LC,NA,Field Observation and Photography,95.32,29.34,Passeriformes,Xizang,LC,Other,Field Observation and Photography,"Bird Record from Medog, Tibet",长尾阔嘴鸟,Long-Tailed Broadbill,NA,raw_table,FALSE,1,TRUE,valid,Eurylaimidae,"Dexing Township, Medog County, Tibet, China",Mixed Habitat,2401m,Not a Migrant,NT,NO,"Bird Record from Medog, Tibet",Chinese Journal of Zoology,Wang Yuan liufeng ciping wujianpu libingzhang zhuxuelin * liuwulin,10.13859/j.cjz.201603020,NA
499,Acanthis flammea,PASSERIFORMES,PASSERIFORMES,NA,Qinghai,2015,TRUE,LC,Range Shift,Field Observation and Photography,101.32,34.15,Passeriformes,Qinghai,LC,Range shift or distribution change,Field Observation and Photography,Bird Record from Qinghai Province,白腰朱顶雀,Redpoll,NA,raw_table,FALSE,2,TRUE,valid,Fringillidae,"Shagou Small Artificial Forest Farm, Ping'an County, Haidong, Qinghai Province, China",Artificial Habitat,"2 980 m,702m",Full Migrant,LC,NO,Bird Record from Qinghai Province,Chinese Journal of Zoology,Xi Wenjing; Bao Min; Zhao Haiyu; Wang Yuebang; Zhang Ying; Chen Zhenning,10.13859/j.cjz.201503022,NA
501,Bucanetes mongolicus,PASSERIFORMES,PASSERIFORMES,NA,Heilongjiang,2002,TRUE,LC,Range Shift,Banding Record,128.27,46.43,Passeriformes,Heilongjiang,LC,Range shift or distribution change,Banding Record,New Bird Records in Heilongjiang Province,蒙古沙雀,Mongolian Finch,NA,raw_table,FALSE,1,TRUE,valid,Fringillidae,"Xinglong Qingfeng Bird Conservation Bird Banding Station, Heilongjiang Province, China",NA,NA,Not a Migrant,LC,NO,New Bird Records in Heilongjiang Province,Sichuan Journal of Zoology,Guo Yumin; Yang Yanlan; Wang Tiangang; Wang Changjiang,NA,https://www.scdwzz.com/thesisDetails?columnId=29087461&Fpath=home&index=0&lang=zh
502,Bucanetes mongolicus,PASSERIFORMES,PASSERIFORMES,NA,Sichuan,2014,TRUE,LC,Range Shift,Field Observation and Photography,102.75,30.06,Passeriformes,Sichuan,LC,Range shift or distribution change,Field Observation and Photography,New Bird Records in Sichuan Province,蒙古沙雀,Mongolian Finch,NA,raw_table,FALSE,1,TRUE,valid,Fringillidae,"Construction Site, Binhe Park, Xiangyang Village, Tianquan County, Ya'an, Sichuan Province, China",Grassland/Shrubland,735 m,Not a Migrant,LC,NO,New Bird Records in Sichuan Province,Sichuan Journal of Zoology,Yin Housheng; Liu Zhenxiang; Ke Zunjun; Zhou Feng,NA,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPULfvhwaNsaNXGcuQV3NCUM4xtF8tvVLx0Fc6XDHktvj_xsV_ZqgtRVvc9-UVcBF7BnaZkT_qdZgJlM1UKNdCoWFCOZCpXCnMFZ2Yv3zQLJamk4xK9hUXVXaWEtYUjQnm6MVyNd5VV6qJq319aeKWOdJMHpTq9-7UU5rhZuiMPjyww==&uniplatform=NZKPT&language=CHS
503,Bucanetes mongolicus,PASSERIFORMES,PASSERIFORMES,NA,Tibet,2012,TRUE,LC,Range Shift,Field Observation and Photography,79.71,31.71,Passeriformes,Xizang,LC,Range shift or distribution change,Field Observation and Photography,New Distribution Record of Rhodopechys mongolicus in Tibet,蒙古沙雀,Mongolian Finch,NA,raw_table,FALSE,1,TRUE,valid,Fringillidae,"Zhada County, Southwestern Tibet, Tibet, China",Rivers/Lakes/Water Bodies,4251 m,Not a Migrant,LC,NO,New Distribution Record of Rhodopechys mongolicus in Tibet,Sichuan Journal of Zoology,Wang Ning; Deng Tao,NA,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPUJzpaXdrlg9pEqi4mMYKk_MglCg23qN5L4nfET3aOXfAYJIg4s387eApANY4MY95aP_AK7HI4uO3wskJPfOoTLcX4i09scgyYSs5J30t-MTAUIfYF1kPxfGajC9-Ha5WYtKD9YJ_evEcmc6XguOjjx618BynSGI6d1JgTV7EbYhzQ==&uniplatform=NZKPT&language=CHS
504,Callacanthis burtoni,PASSERIFORMES,PASSERIFORMES,NA,Tibet,2015,TRUE,LC,Range Shift,Field Observation and Photography,85.97,27.93,Passeriformes,Xizang,LC,Range shift or distribution change,Field Observation and Photography,New Bird Record of Gray-capped Greenfinch in China,红眉金翅雀,Spectacled Finch,NA,raw_table,FALSE,1,TRUE,valid,Fringillidae,"Periphery, Lixin Village, Zhangmu Town, Nyalam County, Tibet, China",Forest,NA,Not a Migrant,NA,NO,New Bird Record of Gray-capped Greenfinch in China,Chinese Journal of Zoology,Lin Zhi; He Fenqi,10.13859/j.cjz.201503021,NA
505,Carduelis caniceps,PASSERIFORMES,PASSERIFORMES,NA,Inner Mongolia,2019,TRUE,LC,Range Shift,Field Observation and Photography,101.06,41.97,Passeriformes,Inner Mongolia,LC,Range shift or distribution change,Field Observation and Photography,New Bird Records in Western Inner Mongolia Autonomous Region and Ningxia Hui Autonomous Region,红额金翅雀,European Goldfinch,NA,raw_table,FALSE,1,TRUE,valid,Fringillidae,"Dalaihubu Town, Ejin Banner, Inner Mongolia, China",Artificial Habitat,NA,Full Migrant,LC,NO,New Bird Records in Western Inner Mongolia Autonomous Region and Ningxia Hui Autonomous Region,Sichuan Journal of Zoology,Wang Zhifang; Han Jiawen; Xiao Min; Bai Yuxi; Zhu Dongning; Bai Xiaolong; Wei Hong; Liang Bin; Yang Guisheng,NA,https://kns.cnki.net/kcms2/article/abstract?v=ZH6vWTMDPULaevfwHJT5Cd2UzmPQa47dDoqOPeDTUd5nk80HBvXQw9egR0HHrKUP1-99_aqhrpAKVVc4VuzB7HDFqboDLgKLF_bomc8gpOyEUJbEN5i81WUg3cT5wqhk44q6EBc51dDiliQxnb61a621_jJgeqMcRADvRbsZNdsQ9oCoYcI9rA==&uniplatform=NZKPT&language=CHS
506,Carduelis caniceps,PASSERIFORMES,PASSERIFORMES,NA,Qinghai,2016,TRUE,LC,NA,Field Observation and Photography,100.49,36.58,Passeriformes,Qinghai,LC,Other,Field Observation and Photography,Six Bird Species Newly Recorded in Qinghai Province,红额金翅雀,European Goldfinch,NA,raw_table,FALSE,1,TRUE,valid,Fringillidae,"Grassland In Front Of Staff Dormitory, Qinghai Lake 151 Scenic Area, Jiangxigou Township, Hainan Tibetan Autonomous Prefecture, Qinghai Province, China",Artificial Habitat,60 m;7 m,Full Migrant,LC,NO,Six Bird Species Newly Recorded in Qinghai Province,Chinese Journal of Zoology,Ma Cunxin; Bao Min; Dan Zhicuo; Wang Jianting; Wang Yuebang; Chai Qingping; Chen Zhenning,10.13859/j.cjz.201901014,NA
507,Carpodacus roborowskii,PASSERIFORMES,PASSERIFORMES,NA,Xinjiang,2015,TRUE,LC,Range Shift And Insufficient Survey Effort,Field Observation and Photography,90.55,36.65,Passeriformes,Xinjiang,LC,Mixed: range change + survey/technology,Field Observation and Photography,Tibetan Rose-finch Carpodacus roborowskii，a new record of bird from Xinjiang,藏雀,Tibetan Rosefinch,NA,raw_table,FALSE,1,TRUE,valid,Fringillidae,"Mountain Slope Near Qiuerqiaqia Checkpoint, Altun Mountains National Nature Reserve, Xinjiang, China",Grassland/Shrubland,40 m,Not a Migrant,VU,YES,Tibetan Rose-finch Carpodacus roborowskii，a new record of bird from Xinjiang,Arid Land Geography,Xu Chuanhui; Xu Guohua; Ma Ming; A Ertai; Lan Wenxu; Shi Jun; Maierdan Tuergan,10.13826/j.cnki.cn65-1103/x.2016.06.014,https://link.cnki.net/doi/10.13826/j.cnki.cn65-1103/x.2016.06.014
508,Carpodacus vinaceus,PASSERIFORMES,PASSERIFORMES,NA,Shandong,2020,TRUE,LC,NA,Field Observation and Photography,117.1,36.26,Passeriformes,Shandong,LC,Other,Field Observation and Photography,Slaty-legged Crake and Vinaceous Rosefinch Found in Shandong Province,酒红朱雀,Vinaceous Rosefinch,NA,raw_table,FALSE,1,TRUE,valid,Fringillidae,"Sparse Coniferous-Broadleaf Mixed Forest, Houshiwu Cableway Station Vicinity, Daiding, Shandong Province, China",Forest,780 m,Altitudinal Migrant,LC,NO,Slaty-legged Crake and Vinaceous Rosefinch Found in Shandong Province,Chinese Journal of Zoology,Li Xiufen; Liu Zhaorui; Ma Shisheng; Li Wenqing; Wang Yechong,10.13859/j.cjz.202205017,NA
509,Chloris ambigua,PASSERIFORMES,PASSERIFORMES,NA,Guangxi,2004,TRUE,LC,Range Shift,Specimen Collection,105.2,24.97,Passeriformes,Guangxi,LC,Range shift or distribution change,Specimen Collection,Two New Records of Birds in Guangxi,黑头金翅雀,Black-Headed Greenfinch,NA,raw_table,FALSE,1,TRUE,valid,Fringillidae,"Dahongbao, Longlin County, Guangxi, China",NA,NA,Full Migrant,LC,NO,Two New Records of Birds in Guangxi,Guangxi Sciences,Zhou; Fang; Sun Renjie; Han Xiaojing,10.13656/j.cnki.gxkx.2006.01.021,NA
510,Chloris chloris,PASSERIFORMES,PASSERIFORMES,NA,Xinjiang,2000,TRUE,LC,Range Shift,Specimen Collection; Field Observation and Photography,82.27,43.33,Passeriformes,Xinjiang,LC,Range shift or distribution change,Specimen Collection; Field Observation and Photography,A New Record of Birds in China ——— European Greenfinch,欧金翅雀,European Greenfinch,NA,raw_table,FALSE,1,TRUE,valid,Fringillidae,"Yining Urban District, Xinjiang, China; Yining County, Xinjiang, China; Qapqal County, Xinjiang, China; Xinyuan County, Xinjiang, China; Boundary Area, Hejing County, Bayingolin Mongol Autonomous Prefecture, Xinjiang, China; Kuqa County, Aksu Prefecture, Xinjiang, China; Tianshan Gongnaisi Forest Farm, Ili Prefecture, Xinjiang, China",Mixed Habitat,670 m,Full Migrant,LC,NO,A New Record of Birds in China ——— European Greenfinch,Arid Zone Research,Ma Ming; Liu Ping; Richard Lewthwaite; Geoff Carey; Lin Chaoying; Paul Leader; James Hockett,10.13866/j.azr.2000.02.011,https://link.cnki.net/doi/10.13866/j.azr.2000.02.011
511,Chloris sinica,PASSERIFORMES,PASSERIFORMES,NA,Hainan,2006,TRUE,LC,Range Shift,Field Observation and Photography,109.7,19.9,Passeriformes,Hainan,LC,Range shift or distribution change,Field Observation and Photography,"Twelve new bird records for Hainan Island, China",金翅雀,Oriental Greenfinch,NA,raw_table,FALSE,1,TRUE,valid,Fringillidae,"Lingao, Hainan Province, China",NA,NA,Full Migrant,LC,NO,"Twelve new bird records for Hainan Island, China",Journal of Hainan Normal College (Natural Science),Liang Wei; Lu Gang; Yang Canchao; Huang Zhongqi,NA,https://kns.cnki.net/kcms2/article/abstract?v=x5ZT7qxuO_qzCwPmEmJ9GOpla26fQj_UIqgg14UubGv_vsKJM_sKnzHE82K9lbJ5LclRn1dumXaBZEE5dyQgbUy3aSF9AvF7Q13VFR98Wn_YSil_2xfomyU_s-SK3xJ5VTlDCbQxUBqbVDn-TRuLgoNzjdmP7iXr3uONw_f9pc9z-12mUbIN3w==&uniplatform=NZKPT&language=CHS
512,Fringilla coelebs,PASSERIFORMES,PASSERIFORMES,NA,Gansu,2020,TRUE,LC,NA,Bird Survey; Inference Based on Literature and Ecological Characteristics,98.17,39.07,Passeriformes,Gansu,LC,Other,Bird Survey; Inference Based on Literature and Ecological Characteristics,Chaffinch Found in Gansu Province,苍头燕雀,Common Chaffinch,NA,raw_table,FALSE,1,TRUE,valid,Fringillidae,"Jinyu Park, Suzhou District, Jiuquan, Gansu Province, China; Sibahaizi Wetland Park, Suzhou District, Jiuquan, Gansu Province, China; Jiuquan Park, Suzhou District, Jiuquan, Gansu Province, China",Rivers/Lakes/Water Bodies,2860 m,Full Migrant,LC,NO,Chaffinch Found in Gansu Province,Chinese Journal of Zoology,Li Xiaojun; Yin Dawen; Gao Wei; Yu Wei,10.13859/j.cjz.202320323,https://link.cnki.net/doi/10.13859/j.cjz.202320323
513,Fringilla coelebs,PASSERIFORMES,PASSERIFORMES,NA,Hubei,2021,TRUE,LC,NA,Field Observation and Photography,110.49,29.9,Passeriformes,Hubei,LC,Other,Field Observation and Photography,Chaffinch Found in Hubei Province,苍头燕雀,Common Chaffinch,NA,raw_table,FALSE,1,TRUE,valid,Fringillidae,"Huaqiao Village, Zouma Town, Hefeng County, Enshi Tujia And Miao Autonomous Prefecture, Hubei Province, China",Mixed Habitat,3 259 m,Full Migrant,LC,NO,Chaffinch Found in Hubei Province,Chinese Journal of Zoology,Luo Lei; Zhao Shidong; Zhang Kun; Yang Xiaojing,10.13859/j.cjz.202321053,NA
514,Fringilla coelebs,PASSERIFORMES,PASSERIFORMES,NA,Hunan,2017,TRUE,LC,NA,Field Observation and Photography,111.18,29.5,Passeriformes,Hunan,LC,Other,Field Observation and Photography,"Common Chaffinch, Northern Boobook and Short-toed Snake Eagle Found in Hunan Province",苍头燕雀,Common Chaffinch,NA,raw_table,FALSE,1,TRUE,valid,Fringillidae,"Chalinhe Village, Cili County, Zhangjiajie, Hunan Province, China",NA,4900 m,Full Migrant,LC,NO,"Common Chaffinch, Northern Boobook and Short-toed Snake Eagle Found in Hunan Province",Chinese Journal of Zoology,Hu Ke; Shu Zhaoen; Luo Yao; Shang Yuanlingbo; Kang Zujie; He Chunrong; Yang Cuncun; Tang Jia; Zheng Ye; Liu Yang; Yang Daode; Xiao Rongbo,10.13859/j.cjz.202301014,NA
